Localidad,Departamento,Fuente,Tipo_Punto,PUNTO_DE_MUESTREO,Fecha_de_monitoreo,Ph,T_°C,TDS_mg_l,Turb_NTU,Salinidad_mg_l,As_mg_l,Fluor_mg_l,NO3_mg_l,OD_mg_l,Sat_O2_pct,Clorofila_ug_l,Algas_BGA,Cloro_libre_mg_l,Latitud,Longitud
ICAÑO,LA PAZ,MEZCLA,,CIS,14/04/2025,8.9,21.7,213.9,2.67,235.02,0.005,0.61,5.07,,,,,,-28.918506,-65.33047
ICAÑO,LA PAZ,MEZCLA,,CIS,8/5/2025,7.9,21,248.8,17.8,237.2,0.005,0.57,3.26,,,,,,-28.918506,-65.33047
CAPITAL,CAPITAL,SUBTERRANEA,,P 10,3/3/2025,7.2,23.1,626,,0.593,0.005,0.4,56.6,,,,,,-28.486089,-65.771658
CAPITAL,CAPITAL,SUBTERRANEA,,P 10,3/6/2025,7.2,23.1,620,,0.588,0.005,0.41,55.4,,,,,,-28.486089,-65.771658
CAPITAL,CAPITAL,SUBTERRANEA,,P 10,3/9/2025,7.3,23.1,622,,0.589,0.005,0.42,55.1,,,,,,-28.486089,-65.771658
CAPITAL,CAPITAL,SUBTERRANEA,,P 10,3/12/2025,7.1,23.1,612,,0.58,0.005,0.41,54.9,,,,,,-28.486089,-65.771658
CAPITAL,CAPITAL,SUBTERRANEA,,P 2 PF,3/3/2025,7.2,23.1,1586,,1.504,0.005,0.89,205,,,,,,-28.449251,-65.756132
CAPITAL,CAPITAL,SUBTERRANEA,,P 46,3/3/2025,7.6,23.1,478,,0.454,0.005,0.34,47.7,,,,,,-28.486095,-65.766386
CAPITAL,CAPITAL,SUBTERRANEA,,P 46,3/6/2025,7.6,23.1,477,,0.452,0.005,0.35,48.4,,,,,,-28.486095,-65.766386
CAPITAL,CAPITAL,SUBTERRANEA,,P 46,3/9/2025,7.4,23.1,485,,0.46,0.005,0.34,47.6,,,,,,-28.486095,-65.766386
CAPITAL,CAPITAL,SUBTERRANEA,,P 46,3/12/2025,7.3,23.1,476,,0.451,0.005,0.33,48.4,,,,,,-28.486095,-65.766386
CAPITAL,CAPITAL,SUBTERRANEA,,P 52,3/3/2025,7,23.1,516,,0.49,0.005,0.39,37.8,,,,,,-28.492022,-65.770536
CAPITAL,CAPITAL,SUBTERRANEA,,P 52,3/6/2025,7,23.1,530,,0.503,0.005,0.39,38.2,,,,,,-28.492022,-65.770536
CAPITAL,CAPITAL,SUBTERRANEA,,P 52,3/9/2025,7.3,23.1,536,,0.508,0.005,0.41,40.3,,,,,,-28.492022,-65.770536
CAPITAL,CAPITAL,SUBTERRANEA,,P 52,3/12/2025,7,23.1,537,,0.509,0.005,0.42,41.2,,,,,,-28.492022,-65.770536
CAPITAL,CAPITAL,SUBTERRANEA,,P 62,3/3/2025,7.1,23.1,274,,0.26,0.005,0.47,14,,,,,,-28.512213,-65.774896
CAPITAL,CAPITAL,SUBTERRANEA,,P 62,3/6/2025,7.2,23.1,276,,0.262,0.005,0.49,14.6,,,,,,-28.512213,-65.774896
CAPITAL,CAPITAL,SUBTERRANEA,,P 62,3/9/2025,7.3,23.1,284,,0.269,0.005,0.5,15.2,,,,,,-28.512213,-65.774896
CAPITAL,CAPITAL,SUBTERRANEA,,P 62,3/12/2025,7.2,23.1,281,,0.266,0.005,0.48,15.7,,,,,,-28.512213,-65.774896
CAPITAL,CAPITAL,SUBTERRANEA,,P BH,3/3/2025,7.2,23.1,460,,0.436,0.005,0.41,13.3,,,,,,-28.548747,-65.79093
CAPITAL,CAPITAL,SUBTERRANEA,,P BH,3/6/2025,7.3,23.1,452,,0.428,0.005,0.43,13.2,,,,,,-28.548747,-65.79093
CAPITAL,CAPITAL,SUBTERRANEA,,P BH,3/9/2025,7.5,23.1,468,,0.444,0.005,0.41,18.4,,,,,,-28.548747,-65.79093
CAPITAL,CAPITAL,SUBTERRANEA,,P BH,3/12/2025,7.5,23.1,441,,0.418,0.005,0.36,18.7,,,,,,-28.548747,-65.79093
CAPITAL,CAPITAL,SUBTERRANEA,,P PZ,3/3/2025,7.4,23.1,652,,0.618,0.0103,1.04,5,,,,,,-28.46909,-65.639732
CAPITAL,CAPITAL,SUBTERRANEA,,P PZ,3/6/2025,7.1,23.1,651,,0.617,0.0128,1.05,5,,,,,,-28.46909,-65.639732
CAPITAL,CAPITAL,SUBTERRANEA,,P PZ,3/9/2025,7.7,23.1,664,,0.63,0.005,1.08,5,,,,,,-28.46909,-65.639732
CAPITAL,CAPITAL,SUBTERRANEA,,P PZ,3/12/2025,7.6,23.1,653,,0.62,0.005,1.04,5,,,,,,-28.46909,-65.639732
CAPITAL,CAPITAL,SUBTERRANEA,,R 1,3/3/2025,7.3,23.1,472,,0.447,0.005,0.38,37.2,,,,,,-28.457018,-65.792069
CAPITAL,CAPITAL,SUBTERRANEA,,R 1,3/6/2025,7.4,23.1,470,,0.445,0.005,0.39,37.7,,,,,,-28.457018,-65.792069
CAPITAL,CAPITAL,SUBTERRANEA,,R 1,3/9/2025,7.3,23.1,482,,0.457,0.005,0.38,38.4,,,,,,-28.457018,-65.792069
CAPITAL,CAPITAL,SUBTERRANEA,,R 1,3/12/2025,7.2,23.1,463,,0.439,0.005,0.38,36.9,,,,,,-28.457018,-65.792069
CAPITAL,CAPITAL,SUBTERRANEA,,R Norte,3/3/2025,7.4,23.1,1017,,0.964,0.005,0.36,62.1,,,,,,-28.443705, -65.788569
CAPITAL,CAPITAL,SUBTERRANEA,,R Norte,3/6/2025,7.6,23.1,948,,0.899,0.005,0.37,56.1,,,,,,-28.443705, -65.788569
CAPITAL,CAPITAL,SUBTERRANEA,,R Norte,3/9/2025,7.4,23.1,1003,,0.951,0.005,0.36,62.4,,,,,,-28.443705, -65.788569
CAPITAL,CAPITAL,SUBTERRANEA,,R Norte,3/12/2025,7.3,23.1,1053,,0.998,0.005,0.35,66.8,,,,,,-28.443705, -65.788569
CAPITAL,CAPITAL,SUBTERRANEA,,R Vial I,3/3/2025,7.1,23.1,618,,0.586,0.005,0.32,58,,,,,,-28.49345,-65.79719
CAPITAL,CAPITAL,SUBTERRANEA,,R Vial I,3/6/2025,7.1,23.1,603,,0.572,0.005,0.32,56.1,,,,,,-28.49345,-65.79719
CAPITAL,CAPITAL,SUBTERRANEA,,R Vial I,3/9/2025,7.1,23.1,616,,0.584,0.005,0.32,55.8,,,,,,-28.49345,-65.79719
CAPITAL,CAPITAL,SUBTERRANEA,,R Vial I,3/12/2025,7,23.1,605,,0.573,0.005,0.26,58.8,,,,,,-28.49345,-65.79719
EL ALTO,EL ALTO,SUPERFICIAL,DIQUE,DIQUE COLLAGASTA ,12/5/2026,"7,21","17,1","150,3","6,63",,"0,004","0,303","8,24","7,11","83,7","82,96",6036,,-28.33513,-65.302617
EL ALTO,EL ALTO,SUPERFICIAL,DIQUE,DIQUE LAS TUNAS,,,,,,,,,,,,,,,-28.237501,-65.379652
LA VIÑA,PACLIN,SUPERFICIAL,DIQUE,DIQUE SUMAMPA   ,,,,,,,,,,,,,,,-28.066701,-65.575336
ALIJILAN,SANTA ROSA,SUPERFICIAL,DIQUE,DIQUE LA CAÑADA,,,,,,,,,,,,,,,-28.168873,-65.52901
LA QUINTA,LA PAZ,SUPERFICIAL,DIQUE,DIQUE MOTEGASTA,,,,,,,,,,,,,,,-29.036454,-65.360751
