Localidad,Departamento,Fuente,Tipo_Punto,PUNTO_DE_MUESTREO,Fecha_de_monitoreo,Ph,T_°C,TDS_mg_l,Turb_NTU,Salinidad_mg_l,As_mg_l,Fluor_mg_l,NO3_mg_l,OD_mg_l,Sat_O2_pct,Clorofila_ug_l,Algas_BGA,Cloro_libre_mg_l,Latitud,Longitud
CIUDAD DE SANTA MARIA,SANTA MARIA,SUBTERRANEA,, POZO EL CAMPING,4/22/2025,8.19,20.5,535,0.56,510.78,0.004,0.19,15.37,,,,,,-26.694863,-66.048114
EL CERRITO,SANTA MARIA,SUBTERRANEA,, POZO EL CAMPING,4/22/2025,8.19,24.8,696.6,0.17,664.32,0.01,0.75,5.53,,,,,,-26.684113,-66.063012
LAS MOJARRAS,SANTA MARIA,SUBTERRANEA,,POZO LOS CANALES,4/22/2025,7.35,25,586.5,0.33,564.54,0.005,1.2,5.19,,,,,,-26.678025,-66.058632
LAS MOJARRAS,SANTA MARIA,SUBTERRANEA,,POZO N°1,4/22/2025,7.78,25.4,366.3,0.61,360.32,0.005,0.75,2.87,,,,,,-26.645316,-66.056619
EL CERRITO,SANTA MARIA,SUBTERRANEA,,POZO LA CANCHA,4/22/2025,7.86,25.6,378.6,0.52,372.54,0.01,0.71,1.65,,,,,,-26.692646,-66.069888
LAMPACITO,SANTA MARIA,SUBTERRANEA,,POZO,4/22/2025,7.72,21.2,204.7,0.28,204.48,0.005,0.34,3.05,,,,,,-26.709131,-66.066238
CHAÑAR PUNCO,SANTA MARIA,SUBTERRANEA,,POZO,4/22/2025,7.65,21.1,204.6,0.26,204.35,0.005,0.33,2.8,,,,,,-26.725067,-66.07174
MEDANITO,SANTA MARIA,SUBTERRANEA,,POZO,4/22/2025,7.03,19.5,592.3,0.31,562.05,0.004,0.33,6.42,,,,,,-26.757536,-66.076552
QUEBRADA DE JUJUIL,SANTA MARIA,SUPERFICIAL,,CIS,4/23/2025,7.7,16.1,335.2,0.65,322.05,0.005,0.31,0.25,,,,,,-26.786174,-66.014168
SAN JOSE BANDA,SANTA MARIA,SUBTERRANEA,,POZO,4/23/2025,7.74,16.8,236.1,0.37,231.17,0.004,0.37,3.94,,,,,,-26.817892,-66.090703
ENTRE RIOS,SANTA MARIA,SUPERFICIAL,,CIS,4/23/2025,7.76,14.9,207.1,0.47,203.52,0.004,0.36,0.74,,,,,,-26.829166,-66.025623
YAPE,SANTA MARIA,SUPERFICIAL,,CIS,4/23/2025,7.93,15.2,208.7,1.06,205.44,0.004,0.36,0.79,,,,,,-26.851914,-66.066894
EL DESMONTE,SANTA MARIA,SUPERFICIAL,,CIS,4/23/2025,7.72,16.3,181.1,0.53,180.54,0.004,0.3,2.13,,,,,,-26.879858,-66.100767
EL DESMONTE,SANTA MARIA,SUBTERRANEA,,POZO,4/23/2025,7.58,18.4,205.9,0.14,204.22,0.004,0.33,3.38,,,,,,-26.880438, -66.101126
AMPAJANGO,SANTA MARIA,SUPERFICIAL,,CIS,4/23/2025,7.69,15.2,136.1,2.57,133.57,0.004,0.18,0.45,,,,,,-26.9246,-66.079448
PUNTA DE BALASTO,SANTA MARIA,SUBTERRANEA,,POZO,4/23/2025,7.61,21.3,168.5,0.4,170.88,0.004,0.44,1.11,,,,,,-26.963517,-66.143788
RECREO,SANTA MARIA,SUBTERRANEA,,POZO VIALIDAD,8/7/2025,7.35,15.5,611.5,0.31,554.56,0.01,0.21,16.11,,,,,,-26.723578,-66.054577
CASA DE PIEDRA,SANTA MARIA,SUBTERRANEA,,RED ESC N° 317,8/7/2025,8.2,13.3,186.7,0.14,177.98,0.004,0.12,3.04,,,,,,-26.832625,-66.090908
CASA DE PIEDRA,SANTA MARIA,SUBTERRANEA,,RED ESC N° 317,9/18/2025,8.1,20.1,175.1,1.22,176.45,0.004,0.15,2.03,,,,,,-26.832625,-66.090908
SAN JOSE BANDA,SANTA MARIA,SUBTERRANEA,,POZO,9/18/2025,8.03,20.5,202.3,0.3,201.41,0.004,0.15,2.28,,,,,,-26.817892,-66.090703
LORO HUASI,SANTA MARIA,SUBTERRANEA,,POZO,9/18/2025,7.67,21.5,489.5,0.23,469.95,0.004,0.16,16.71,,,,,,-26.730568,-66.05119
LORO HUASI,SANTA MARIA,SUPERFICIAL,,POZO,9/19/2025,8.18,16.7,340.2,0.74,326.46,0.004,0.17,0.34,,,,,,-26.730568,-66.05119
ENTRE RIOS,SANTA MARIA,SUPERFICIAL,,CIS,9/19/2025,8.27,16.1,211.4,0.71,207.74,0.004,0.2,0.43,,,,,,-26.829166,-66.025623
YAPE,SANTA MARIA,SUPERFICIAL,,CIS,9/19/2025,8.43,15.4,220.8,1.19,216.13,0.004,0.19,0.5,,,,,,-26.851914,-66.066894
EL DESMONTE,SANTA MARIA,SUBTERRANEA,,POZO,9/19/2025,8.05,22.4,199.2,0.8,200.13,0.004,0.18,3.13,,,,,,-26.880438, -66.101126
EL DESMONTE,SANTA MARIA,MEZCLA,,CIS,9/19/2025,8.16,21.2,188.6,0.75,189.25,0.004,0.17,2.36,,,,,,-26.879858,-66.100767
AMPAJANGO,SANTA MARIA,SUPERFICIAL,,CIS,9/19/2025,8.49,17.5,141.1,2.71,141.63,0.004,0.1,0.04,,,,,,-26.9246,-66.079448
AMPAJANGO,SANTA MARIA,SUPERFICIAL,,CIS,9/19/2025,7.9,24.6,175.3,1.1,178.11,0.004,0.21,0.34,,,,,,-26.9246,-66.079448
FAMABALASTO,SANTA MARIA,SUBTERRANEA,,POZO,9/24/2025,7.17,10.2,517.9,0.97,487.1,0.004,0.21,5.56,,,,,,-26.785386,-66.294673
LA HOYADA,SANTA MARIA,SUPERFICIAL,,CIS,9/24/2025,8.32,10.3,107.4,3.24,106.88,0.004,0.19,0.53,,,,,,-26.539143,-66.362264
TORO YACO,SANTA MARIA,SUPERFICIAL,,CIS,9/24/2025,8.38,14.3,190.9,1.94,188.29,0.004,0.16,1.22,,,,,,-26.518585,-66.265559
SAN ANTONIO DEL CAJON,SANTA MARIA,SUPERFICIAL,,CIS,9/24/2025,7.89,14.5,140.7,1.19,140.29,0.004,0.06,4.55,,,,,,-26.397839,-66.253151
OVEJERIA,SANTA MARIA,SUPERFICIAL,,CIS,9/24/2025,7.81,18.8,79.9,14,81.28,0.004,0.16,1.99,,,,,,-26.261465,-66.205698
ANDALHUALA,SANTA MARIA,SUPERFICIAL,,CIS,9/25/2025,8.69,15.9,147.8,4.19,147.52,0.004,0.15,1.56,,,,,,-26.89682,-66.039227
PUNTA DE BALASTO,SANTA MARIA,SUBTERRANEA,,POZO,11/20/2024,8.28,21.7,185.4,0.35,181.44,0.004,0.35,2.61,,,,,,-26.963517,-66.143788
EL DESMONTE,SANTA MARIA,SUPERFICIAL,,ENTRADA A PLANTA,11/20/2024,8.6,18,155.3,0.96,151.68,0.004,0.18,2.16,,,,,,-26.880284,-66.099843
EL DESMONTE,SANTA MARIA,MEZCLA,,CIS,11/20/2024,8.54,20,169.8,0.43,166.59,0.004,0.2,2.72,,,,,,-26.879858,-66.100767
EL DESMONTE,SANTA MARIA,SUBTERRANEA,,POZO,11/20/2024,8.12,18.8,240.7,0.2,197.5,0.004,0.27,5.33,,,,,,-26.880438, -66.101126
SAN JOSE BANDA,SANTA MARIA,SUBTERRANEA,,POZO,11/20/2024,8.1,18.8,234.3,0.22,223.87,0.004,0.26,6.39,,,,,,-26.817892,-66.090703
MEDANITO,SANTA MARIA,SUBTERRANEA,,POZO,11/20/2024,8.05,19.2,265.6,0.32,251.97,0.004,0.23,6.25,,,,,,-26.757536,-66.076552
CHAÑAR PUNCO,SANTA MARIA,SUBTERRANEA,,POZO,11/20/2024,8.29,21.9,203.2,0.35,243.65,0.005,0.24,5.15,,,,,,-26.725067,-66.07174
LAMPACITO,SANTA MARIA,SUBTERRANEA,,POZO,11/20/2024,8.23,23.1,205.4,0.37,200.19,0.005,0.23,5.13,,,,,,-26.709131,-66.066238
EL CERRITO,SANTA MARIA,SUBTERRANEA,,POZO LA CANCHA,11/20/2024,8.18,26.1,378.7,0.27,362.94,0.01,0.5,3.54,,,,,,-26.692646,-66.069888
EL CERRITO,SANTA MARIA,SUBTERRANEA,, POZO EL CAMPING,11/20/2024,7.9,25.9,700.2,0.25,650.24,0.01,0.53,7.44,,,,,,-26.684113,-66.063012
LAS MOJARRAS,SANTA MARIA,SUBTERRANEA,,POZO LOS CANALES,11/20/2024,7.86,25.8,589.2,0.28,552.45,0.01,0.84,7.15,,,,,,-26.678025,-66.058632
LAS MOJARRAS,SANTA MARIA,SUBTERRANEA,,POZO N°1,11/20/2024,8.14,26.9,370.4,0.24,354.11,0.005,0.53,4.57,,,,,,-26.645316,-66.056619
CIUDAD DE SANTA MARIA,SANTA MARIA,SUBTERRANEA,, POZO EL CAMPING,11/20/2024,7.93,24.8,554.9,0.21,519.81,0.004,0.14,18.03,,,,,,-26.694863,-66.048114
CIUDAD DE SANTA MARIA,SANTA MARIA,SUBTERRANEA,, POZO AERÓDROMO,11/20/2024,8.28,24.9,229.3,0.25,222.85,0.004,0.14,5.09,,,,,,-26.646673,-66.041057
CIUDAD DE SANTA MARIA,SANTA MARIA,SUBTERRANEA,, POZO B° LA SOLEDAD,11/20/2024,8,24,355.1,0.34,337.98,0.004,0.12,7.23,,,,,,-26.712127,-66.041736
RECREO,SANTA MARIA,SUBTERRANEA,,POZO VIALIDAD,11/20/2024,7.7,21.2,591.7,0.43,547.46,0.01,0.27,17.61,,,,,,-26.723578,-66.054577
SAN JOSE,SANTA MARIA,SUBTERRANEA,,POZO LA CANCHA,11/20/2024,7.65,20.3,421.8,0.53,393.79,0.004,0.23,9.95,,,,,,-26.80449,-66.062957
ANDALHUALA,SANTA MARIA,SUPERFICIAL,,ENTRADA A PLANTA,11/20/2024,9,27.2,142.9,1.32,141.89,0.004,0.21,2.17,,,,,,-26.897281,-66.03892
ANDALHUALA,SANTA MARIA,SUPERFICIAL,,CIS,11/20/2024,8.08,23.4,141.6,0.39,140.03,0.004,0.24,1.94,,,,,,-26.89682,-66.039227
LORO HUASI,SANTA MARIA,SUBTERRANEA,,POZO,11/20/2024,7.67,18.8,496.9,0.19,461.12,0.004,0.24,18.8,,,,,,-26.730568,-66.05119
YAPE,SANTA MARIA,SUPERFICIAL,,CIS,12/1/2024,7.92,26.5,271.9,0.82,262.34,0.004,0.46,1.9,,,,,,-26.851914,-66.066894
ENTRE RIOS,SANTA MARIA,SUPERFICIAL,,CIS,12/1/2024,8.87,25.6,201.1,0.73,196.74,0.004,0.32,1.32,,,,,,-26.829166,-66.025623
QUEBRADA DE JUJUIL,SANTA MARIA,SUPERFICIAL,,CIS,12/1/2024,8.75,25.6,317,0.91,304.13,0.004,0.24,0.8,,,,,,-26.786174,-66.014168
CASPICHANGO,SANTA MARIA,SUPERFICIAL,,ENTRADA A PLANTA,12/1/2024,6.57,31.7,209.3,0.49,203.97,0.004,0.69,1.33,,,,,,-26.74269,-65.947057
FAMABALASTO,SANTA MARIA,SUPERFICIAL,,POZO,12/1/2024,8.39,25.4,524.1,0.91,494.21,0.004,0.35,5.9,,,,,,-26.785386,-66.294673
LA HOYADA,SANTA MARIA,SUPERFICIAL,,CIS,12/1/2024,9.05,25,96.87,64.2,97.15,0.004,0.27,4.01,,,,,,-26.539143,-66.362264
TORO YACO,SANTA MARIA,SUPERFICIAL,,CIS,12/1/2024,8.14,23.9,208.1,1.85,202.3,0.004,0.27,2.65,,,,,,-26.518585,-66.265559
SAN ANTONIO DEL CAJON,SANTA MARIA,SUPERFICIAL,,CIS,12/1/2024,8.8,23.7,157.1,4.72,159.23,0.004,0.12,5.37,,,,,,-26.397839,-66.253151
OVEJERIA,SANTA MARIA,SUPERFICIAL,,CIS,12/1/2024,8.06,23.2,98.05,0.81,97.34,0.004,0.26,2.23,,,,,,-26.261465,-66.205698
AMPAJANGO,SANTA MARIA,SUPERFICIAL,,CIS,12/1/2024,8.6,21.2,169,6.3,165.44,0.004,0.2,2.87,,,,,,-26.9246,-66.079448
CONDOR HUASI,BELEN,SUPERFICIAL,,CIS,4/3/2025,7.85,12.6,96.82,0.71,98.11,0.004,0.32,1.89,,,,,,-27.491903,-67.104953
LAS BARRANCAS,BELEN,SUPERFICIAL,,CIS,4/3/2025,7.84,16.1,90.36,0.6,92.42,0.004,0.24,2.07,,,,,,-27.51489,-67.122479
LAS JUNTAS,BELEN,SUPERFICIAL,,CIS,4/3/2025,7.9,16,79.04,0.35,81.15,0.004,0.18,2.3,,,,,,-27.531454,-67.127825
POZO DE PIEDRA,BELEN,SUPERFICIAL,,CIS,4/3/2025,7.62,16.6,115.2,0.97,117.12,0.004,0.41,0.95,,,,,,-27.563956,-67.158024
PUERTA DE SAN JOSE,BELEN,SUPERFICIAL,,CIS,4/3/2025,7.38,20.7,305.4,0.65,296.83,0.004,0.31,2.52,,,,,,-27.539911,-67.032133
CIUDAD DE BELEN,BELEN,SUPERFICIAL,,ENTRADA A PLANTA DIQUE,5/9/2025,7.8,21.4,565.3,38.9,557.31,0.01,2.02,2.61,,,,,,-27.615847,-67.016973
CIUDAD DE BELEN,BELEN,SUPERFICIAL,,ENTRADA A PLANTA NUEVA,5/9/2025,7.75,21,574,10.2,565.06,0.01,1.71,2.61,,,,,,-27.617705,-67.019612
CIUDAD DE BELEN,BELEN,SUPERFICIAL,,CIS,5/9/2025,7.75,20.8,587.1,4,577.02,0.01,1.6,2.61,,,,,,-27.617971,-67.020015
AZAMPAY,BELEN,SUPERFICIAL,,CIS,5/27/2025,6.85,9.8,148.2,1.05,145.92,0.01,3,2.38,,,,,,-27.345377,-67.064569
CHISTIN,BELEN,SUPERFICIAL,,CIS,5/27/2025,6.92,11.7,560.3,0.41,522.62,0.004,2.02,1.01,,,,,,-27.36129,-67.077935
EL DURAZNO,BELEN,SUPERFICIAL,,CIS,5/27/2025,7.89,12.9,477.1,0.38,450.05,0.01,1.52,5.44,,,,,,-27.264199,-67.051626
VILLA VIL,BELEN,SUPERFICIAL,,CIS,5/27/2025,7.83,13.1,578.4,1.07,540.42,0.01,0.62,2.07,,,,,,-27.093352,-66.820612
LA AGUADA,BELEN,SUPERFICIAL,,CIS,5/28/2025,7.66,14.7,242.3,0.68,234.43,0.01,1.38,3.04,,,,,,-27.742148,-67.220867
LA AGUADITA,BELEN,SUPERFICIAL,,CIS,5/28/2025,7.35,11.1,319.7,1.57,303.04,0.01,1.44,3.73,,,,,,-27.776729,-67.239105
SAN FERNANDO,BELEN,SUBTERRANEA,,POZO,8/27/2025,7.3,20.8,677.2,0.8,639.74,0.02,0.61,4.29,,,,,,-27.336002,-66.901367
LA CIENAGA,BELEN,SUBTERRANEA,,POZO CMS,8/27/2025,7.95,24,275.2,1.11,272.45,0.01,0.31,7.69,,,,,,-27.421154,-66.972225
CIENAGA DE ARRIBA,BELEN,MEZCLA,,CIS,8/27/2025,7.92,21.6,321.7,3.01,314.24,0.01,0.64,8.22,,,,,,-27.48469,-66.980527
SAN FERNANDO,BELEN,SUPERFICIAL,,POZO,9/3/2025,6.8,19,725.7,1.44,679.68,0.02,0.76,4.7,,,,,,-27.336002,-66.901367
CIENAGA DE ARRIBA,BELEN,SUBTERRANEA,,CIS,4/7/2026,7.42,22.5,333.4,0.39,324.67,0.01,0.71,6.22,,,,,,-27.48469,-66.980527
CIUDAD DE BELEN,BELEN,SUBTERRANEA,,POZO PEÑA FIERA,10/17/2024,7.39,20.5,635.8,0.21,594.56,0.02,1.47,2.89,,,,,,-27.606133,-67.013749
CIUDAD DE BELEN,BELEN,SUBTERRANEA,,POZO N° 2 LA BANDA,12/20/2024,7.43,20.1,587.2,0.8,548.54,0.05,1.51,1.43,,,,,,-27.6337,-67.01831
CIUDAD DE BELEN,BELEN,SUBTERRANEA,,POZO N°2 DIQUE,12/20/2024,7.2,22.3,605.3,0.61,565.95,0.02,1.67,0.72,,,,,,-27.615113,-67.016681
CIUDAD DE BELEN,BELEN,SUBTERRANEA,,POZO PEÑA FIERA,12/20/2024,7.3,23.5,636.7,0.96,596.61,0.02,0.71,0.62,,,,,,-27.606133,-67.013749
PUERTA DE RAMBLONES,LA PAZ,SUPERFICIAL,,CIS,4/24/2025,7.59,21.6,448.1,0.32,431.87,0.01,1.01,3.25,,,,,,-29.154423,-65.445946
RAMBLONES,LA PAZ,SUBTERRANEA,,POZO,4/24/2025,7.33,22.6,754.1,0.61,712.32,0.03,1.77,10.45,,,,,,-29.161645,-65.409828
EL AYBAL,LA PAZ,SUBTERRANEA,,POZO,4/24/2025,6.97,24,829.1,1.19,783.36,0.07,1.98,25.19,,,,,,-29.109608,-65.360993
LA QUINTA,LA PAZ,MEZCLA,,CIS,4/24/2025,8.16,22.7,281.2,6.89,276.61,0.01,0.73,17.59,,,,,,-29.040638,-65.353164
RIO CHICO,LA PAZ,SUBTERRANEA,,POZO,4/24/2025,7.08,23.5,649.5,1.01,619.58,0.05,2.43,7.65,,,,,,-28.944626,-65.348399
EL BAÑADO,LA PAZ,SUBTERRANEA,,CIS,4/24/2025,7.13,23.7,645.4,1.4,615.42,0.05,2,7.23,,,,,,-29.194828,-65.437032
LAS PEÑAS,LA PAZ,SUBTERRANEA,,POZO N° 1,4/24/2025,7.62,25.8,2268,1.15,2021.12,0.05,2.45,38.17,,,,,,-29.4815,-65.523971
LAS PEÑAS,LA PAZ,SUBTERRANEA,,POZO LA QUEBRADA,4/24/2025,7.64,28,1522,0.95,1389.44,0.05,3.37,26.99,,,,,,-29.47656,-65.519768
LAS PEÑAS,LA PAZ,SUBTERRANEA,,POZO LA LOMA,4/24/2025,7.14,26.9,1549,0.31,1411.84,0.03,2.8,25.8,,,,,,-29.478557,-65.518666
QUIROS,LA PAZ,SUBTERRANEA,,POZO,5/8/2025,7.8,24.4,433.7,0.3,416.06,0.01,0.85,6.84,,,,,,-28.785857,-65.110915
LAS ESQUINAS,LA PAZ,SUBTERRANEA,,POZO,5/8/2025,7.78,22.9,324.3,0.7,312.96,0.01,0.81,6.96,,,,,,-28.739599,-65.10573
RECREO,LA PAZ,SUBTERRANEA,,CIS,6/17/2025,7.78,23.6,716.9,0.76,663.04,0.02,0.78,33.44,,,,,,-29.27611,-65.051796
LA QUINTA,LA PAZ,MEZCLA,,CIS,6/17/2025,8.28,15.4,372.1,5.19,347.07,0.01,0.47,14.93,,,,,,-29.040638,-65.353164
EL TALA,LA PAZ,SUBTERRANEA,,POZO,8/8/2025,8.9,15.6,1735,0.76,1492.48,0.3,1.29,9.15,,,,,,-28.83808,-64.998392
LA DORADA,LA PAZ,MEZCLA,,CIS,8/8/2025,8.84,15.7,472.3,0.95,433.54,0.01,0.59,4.07,,,,,,-29.247776,-65.489294
LA DORADA,LA PAZ,SUBTERRANEA,,POZO N°1,8/8/2025,8.85,14.5,470.6,0.61,431.87,0.02,0.59,4.25,,,,,,-29.247671,-65.488951
RIO LA DORADA,LA PAZ,SUBTERRANEA,,POZO,8/8/2025,8.09,22.6,919.4,0.66,1154.56,0.05,1.47,24.3,,,,,,-29.288579,-65.487177
EL CERCADO,LA PAZ,SUBTERRANEA,,POZO,8/8/2025,7.86,22.2,1724,1.01,1488,0.1,1.96,52.3,,,,,,-29.316105,-65.490537
EL JUMEAL,LA PAZ,SUBTERRANEA,,POZO,8/8/2025,7.88,22.1,1639,0.46,1427.2,0.07,1.7,25.08,,,,,,-29.415407,-65.505404
LAS PEÑAS,LA PAZ,SUBTERRANEA,,POZO LA QUEBRADA,8/8/2025,7.9,27.6,2089,0.88,1790.72,0.07,1.26,41.9,,,,,,-29.47656,-65.519768
LA GUARDIA,LA PAZ,SUBTERRANEA,,POZO LA VIA,8/8/2025,7.79,24.1,2533,0.65,2145.92,0.04,0.37,43.7,,,,,,-29.554359,-65.453669
LA CABALLA,LA PAZ,SUBTERRANEA,,POZO,9/4/2025,7.68,17.6,936.3,0.3,869.12,0.05,1.08,77.2,,,,,,-28.996806,-65.350768
EL TALA,LA PAZ,SUBTERRANEA,,POZO,10/8/2025,8.39,20.6,1732,1.48,1489.2,0.02,0.42,13.13,,,,,,-28.83808,-64.998392
QUIROS,LA PAZ,SUBTERRANEA,,POZO,10/8/2025,8.01,24.9,459,1.43,443.46,0.01,0.46,18.58,,,,,,-28.785857,-65.110915
LA QUINTA,LA PAZ,MEZCLA,,CIS,10/8/2025,8.47,21,363.9,4.25,353.41,0.01,0.46,25.89,,,,,,-29.040638,-65.353164
LAS PEÑAS,LA PAZ,SUBTERRANEA,,POZO LA LOMA,8/28/2024,7.46,22.6,2647,0.38,2286.72,0.15,3.35,35.44,,,,,,-29.478557,-65.518666
EL JUMEAL,LA PAZ,SUPERFICIAL,,POZO,8/28/2024,7.42,20,1651,1.09,1465.6,0.05,3.01,25.43,,,,,,-29.415407,-65.505404
RIO LA PUERTA,LA PAZ,SUPERFICIAL,,CIS,8/28/2024,7.59,16.8,1030,1.28,938.88,0.03,2.28,14.81,,,,,,-29.337062,-65.49881
RIO LA DORADA,LA PAZ,SUBTERRANEA,,POZO,8/28/2024,8.4,19.9,816.6,0.37,754.56,0.05,2.38,11.2,,,,,,-29.288579,-65.487177
LA DORADA,LA PAZ,SUBTERRANEA,,POZO N°1,8/28/2024,7.85,23.4,462.1,1.2,441.54,0.01,1.35,10.7,,,,,,-29.247671,-65.488951
EL DIVISADERO,LA PAZ,SUBTERRANEA,,POZO,8/28/2024,7.61,24.6,561.4,0.63,533.89,0.04,1.5,14.13,,,,,,-29.203986,-65.45182
LA DORADA,LA PAZ,SUBTERRANEA,,POZO EL BARRIALITO,8/28/2024,7.26,24.5,612.9,0.35,579.71,0.01,1.53,8.09,,,,,,-29.235765,-65.489261
EL BAÑADO,LA PAZ,MEZCLA,,CIS,8/28/2024,7.28,22.7,672,0.39,630.4,0.05,1.99,22.98,,,,,,-29.194828,-65.437032
EL MORENO,LA PAZ,SUBTERRANEA,,POZO,8/28/2024,7.17,24.5,2018,0.53,1771.52,0.15,2.17,21.23,,,,,,-29.255109,-65.399892
PUERTA DE RAMBLONES,LA PAZ,SUPERFICIAL,,CIS,8/29/2024,8.2,15.4,434.7,0.31,408.38,0.01,0.89,2.38,,,,,,-29.154423,-65.445946
RAMBLONES,LA PAZ,SUBTERRANEA,,POZO,8/29/2024,7.84,15.5,755.2,0.25,697.6,0.03,1.39,11.32,,,,,,-29.161645,-65.409828
NAVAGUIN,LA PAZ,SUBTERRANEA,,POZO,8/29/2024,7.36,21.7,516.1,0.25,487.87,0.02,1.46,6.19,,,,,,-29.088408,-65.438155
EL AYBAL,LA PAZ,SUBTERRANEA,,POZO,8/29/2024,7.35,21.1,740.8,0.39,688,0.06,1.43,23.57,,,,,,-29.109608,-65.360993
LA QUINTA,LA PAZ,SUBTERRANEA,,POZO,8/29/2024,7.71,18,435,11.7,410.24,0.01,0.74,22.41,,,,,,-29.039967,-65.355347
LA QUINTA,LA PAZ,SUBTERRANEA,,POZO,8/29/2024,7.66,24.1,1469,4.03,1322.24,0.05,1.89,66.9,,,,,,-29.039967,-65.355347
LA CABALLA,LA PAZ,SUBTERRANEA,,POZO,8/29/2024,7.62,23.7,949.3,0.31,880.64,0.06,1.79,74.8,,,,,,-28.996806,-65.350768
RIO CHICO,LA PAZ,SUBTERRANEA,,POZO,8/29/2024,7.4,22.9,303.5,1.02,293.82,0.01,0.61,5.43,,,,,,-28.944626,-65.348399
ICAÑO,LA PAZ,MEZCLA,,CIS,8/29/2024,7.64,19.3,243.3,0.55,236.03,0.01,0.54,4.64,,,,,,-28.918506,-65.33047
ICAÑO,LA PAZ,SUBTERRANEA,,POZO,8/29/2024,7.55,24,328,0.25,318.21,0.02,0.74,4.54,,,,,,-28.918374, -65.330509
LAS TOSCAS,LA PAZ,SUBTERRANEA,,POZO,8/29/2024,7.84,25,291,0.96,282.5,0.01,0.8,2.89,,,,,,-28.908309,-65.281985
PUESTO DE VERA,LA PAZ,SUBTERRANEA,,POZO,8/29/2024,7.49,23.8,497.6,0.61,400.38,0.01,0.97,3.6,,,,,,28.894761,-65.297884
PUESTO DE SICHA,LA PAZ,SUBTERRANEA,,POZO,8/29/2024,7.43,23.9,343.3,0.2,332.54,0.03,0.57,19.3,,,,,,-28.864433,-65.327753
ANJULI,LA PAZ,SUBTERRANEA,,POZO,8/29/2024,7.22,19.5,475.8,0.24,449.54,0.03,1.22,8.29,,,,,,-28.674103,-65.278978
LA GUARDIA,LA PAZ,SUBTERRANEA,,POZO N° 2,8/8/2025,7.22,22.1,2538,0.59,2112,0.04,0.71,44.5,,,,,,-29.554062,-65.457435
LA GUARDIA,LA PAZ,SUBTERRANEA,,POZO N° 2,8/28/2024,7.68,21.7,2574,0.91,2135.68,0.01,0.7,44.58,,,,,,-29.554062,-65.457435
LA GUARDIA,LA PAZ,SUBTERRANEA,,POZO LA VIA,8/28/2024,7.16,22.2,2564,1.19,2131.84,0.05,0.73,44.91,,,,,,-29.554359,-65.453669
LA HORQUETA,LA PAZ,SUBTERRANEA,,POZO,8/28/2024,7.41,20.4,3470,0.82,2803.84,0.05,1.47,21.46,,,,,,-29.505705,-65.384
ESQUIÚ,LA PAZ,SUBTERRANEA,,POZO N°2,8/28/2024,7.51,24.3,1714,0.4,1465.6,0.05,0.79,23.32,,,,,,-29.381955,-65.292485
ESQUIÚ,LA PAZ,SUBTERRANEA,,POZO N° 3,8/28/2024,7.73,16,1328,0.28,1144.96,0.05,0.74,18.09,,,,,,-29.377686,-65.296451
SAN ANTONIO,LA PAZ,SUBTERRANEA,,POZO N°2,8/28/2024,7.94,24.4,566.9,0.63,516.1,0.01,0.63,15.01,,,,,,-28.932568,-65.098453
SAN ANTONIO,LA PAZ,SUBTERRANEA,,POZO N° 4,8/28/2024,7.71,24.3,500.1,0.5,459.33,0.02,0.78,15.44,,,,,,-28.930237,-65.098903
SAN ANTONIO,LA PAZ,SUBTERRANEA,,POZO N° 3,8/29/2024,7.61,24.2,760.5,0.38,692.48,0.03,0.63,14.28,,,,,,-28.932465,-65.102007
EL TALA,LA PAZ,SUBTERRANEA,,POZO,8/29/2024,8.21,23.9,1727,0.9,1473.92,0.25,4.27,12.48,,,,,,-28.83808,-64.998392
QUIROS,LA PAZ,SUBTERRANEA,,POZO B° LAS LIEBRES,8/29/2024,7.53,23.4,525.4,0.44,479.3,0.01,0.69,19.3,,,,,,-28.787177,-65.098995
QUIROS,LA PAZ,SUBTERRANEA,,POZO,8/29/2024,7.68,22.1,333.4,0.45,308.22,0.01,0.68,13.87,,,,,,-28.785857,-65.110915
LAS ESQUINAS,LA PAZ,SUBTERRANEA,,POZO,8/29/2024,7.74,18.8,315.4,0.43,289.09,0.03,0.63,8.39,,,,,,-28.739599,-65.10573
EL BARRIALITO,LA PAZ,SUBTERRANEA,,POZO,8/29/2024,7.49,21.8,429.3,0.53,392.7,0.02,0.74,23.62,,,,,,-28.67506,-65.046334
VILLA DE POMAN,POMAN,SUBTERRANEA,,POZO N°2,4/11/2025,8.2,15.6,200.1,1.88,194.24,0.004,0.09,0.88,,,,,,-28.403334,-66.202879
VILLA DE POMAN,POMAN,SUBTERRANEA,,CIS,4/11/2025,8.18,17.1,218.1,1.13,211.01,0.004,0.09,0.55,,,,,,28.396109,-66.213593
SIJAN,POMAN,SUPERFICIAL,,CIS,4/11/2025,8.48,13.2,67.75,0.42,67.33,0.004,0.45,1.55,,,,,,-28.264174,-66.198031
SAUJIL,POMAN,SUBTERRANEA,,CIS,4/11/2025,8.23,14.8,100.7,1.02,100.61,0.004,0.11,1.47,,,,,,-28.178793,-66.19881
SAUJIL,POMAN,SUPERFICIAL,,POZO EL MATADERO,4/11/2025,7.49,22.3,437.5,1.17,416.06,0.004,0.28,25.06,,,,,,-28.166029,-66.219881
